"Trip ID","Taxi ID","Trip Start Timestamp","Trip End Timestamp","Trip Seconds","Trip Miles","Pickup Census Tract","Dropoff Census Tract","Pickup Community Area","Dropoff Community Area",Fare,Tips,Tolls,Extras,"Trip Total","Payment Type",Company,"Pickup Centroid Latitude","Pickup Centroid Longitude","Pickup Centroid Location","Dropoff Centroid Latitude","Dropoff Centroid Longitude","Dropoff Centroid  Location","Community Areas"
a2c803733ff1796c41b77836ef6f2b035c5e4559,a8c6abe061e67444eae2aa2446e294a20e304ae3bf72a538710d5ddf462df8f4aeadc75d7230677f35b2a4895237ab65cd6c53c9822731e1f56c4e5c7e816f91,"05/29/2013 03:45:00 PM","05/29/2013 03:45:00 PM",240,0,17031839100,17031320100,32,32,$5.25,$0.00,$0.00,$0.00,$5.25,Cash,"Taxi Affiliation Services",41.880994471,-87.632746489,"POINT (-87.632746 41.880994)",41.884987192,-87.620992913,"POINT (-87.620993 41.884987)",38
a2c80390a2f0241141771189ae1be5174f31a701,7bdac954f2be7f55aa04f12e4be5d954c1d0d42a237bb5cb53d3a24154d1118bfcf1c011770974a9a40e4aa21b20fce701a07d6092fb5f2e1598a1fdf0fc3960,"05/17/2014 02:30:00 AM","05/17/2014 02:30:00 AM",660,3.7,17031071200,17031031400,7,3,$10.65,$0.00,$0.00,$1.00,$11.65,Cash,"",41.921854911,-87.646210977,"POINT (-87.646211 41.921855)",41.962178629,-87.645378762,"POINT (-87.645379 41.962179)",68
a2c803ab5d3fb41b57aa3c96da694c9f416e4300,1a01d07ed48c7b3c9d7fea0fb698e1b143e80677001201960540b5372440b2398cff51794e8cd86baa07f077cb774637534dc344dd93eeaceac630ec0197b022,"07/13/2015 02:00:00 AM","07/13/2015 02:00:00 AM",0,0,"","","","",$7.45,$1.86,$0.00,$0.00,$9.31,"Credit Card","Chicago Elite Cab Corp. (Chicago Carriag","","","","","","",""
a2c803d1d5b589962307f62d58a40a64c4b2784c,dd410fcc323cc73da8f8c89c5734c0bdfebefca12cea4434140379c082000f1f044ac1a54bc1a628e9a6fa992a8ebad8449058ce3350f40227842ba742bdc0fb,"05/03/2013 03:45:00 PM","05/03/2013 04:00:00 PM",420,1.2,"","",8,8,$6.25,$0.00,$0.00,$1.00,$7.25,Cash,"",41.899602111,-87.633308037,"POINT (-87.633308 41.899602)",41.899602111,-87.633308037,"POINT (-87.633308 41.899602)",37
a2c804021087c252ba518fde0e81f08498df47b9,33002cb6ec3b6d7082a7ccef5399ff93505161f4df9ce1b9bcb008c054122d1c37bd3a1c3f893ce40d4e18a072857b1bc560966c39712dc526512dcc74655345,"10/11/2014 12:45:00 AM","10/11/2014 01:00:00 AM",1620,0,17031980000,17031839100,76,32,$35.45,$0.00,$0.00,$2.00,$37.45,Cash,"Taxi Affiliation Services",41.97907082,-87.903039661,"POINT (-87.90304 41.979071)",41.880994471,-87.632746489,"POINT (-87.632746 41.880994)",75
a2c80403ebea175e8967840de7e918081c3c65ec,0a0cf4a1ad3ca7f77044af442b7d9bc7acc61a68f62ffa9e5c3bfb0fbc0d4bced05db9298f2ebedb71fadeb489e84733a1d8f3a55b7d8c85076956266dd6f236,"07/30/2014 09:15:00 AM","07/30/2014 09:15:00 AM",540,1.3,"","",77,3,$7.05,$0.00,$0.00,$1.00,$8.05,Cash,"Taxi Affiliation Services",41.9867118,-87.663416405,"POINT (-87.663416 41.986712)",41.96581197,-87.655878786,"POINT (-87.655879 41.965812)",76
a2c8041cd3a970f6afec7934594f01f434b87da5,21e6058fef096e0d45f7b9d47433974c9c4e1820c3e5bee61670db5e58eb32e58432f1b6cf09adf73fe8a36a25cfe880f2e797158b2c890ec52603c3635d759f,"03/29/2013 09:00:00 PM","03/29/2013 09:15:00 PM",240,0,17031081201,17031081800,8,8,$5.25,$0.00,$0.00,$2.00,$7.25,Cash,"Dispatch Taxi Affiliation",41.899155613,-87.626210532,"POINT (-87.626211 41.899156)",41.89321636,-87.63784421,"POINT (-87.637844 41.893216)",37
a2c804498bbf69de9f203ee2f068268bb505feeb,9a456da8ef158f7394dce64bd51784b6602596ab81193f52d2718e189abab0a0558f470495d907354a5a49981900600327cff421391cb2162a267eb6707110d1,"01/26/2015 08:45:00 AM","01/26/2015 09:15:00 AM",1800,9.5,17031980100,17031841000,56,33,$23.85,$0.00,$0.00,$2.00,$25.85,"Credit Card","Dispatch Taxi Affiliation",41.785998518,-87.750934289,"POINT (-87.750934 41.785999)",41.849246754,-87.624135298,"POINT (-87.624135 41.849247)",53
a2c814376fe3076e0105f8d68d1b3aef98bf9645,46e168456e346a9086ac70de5ab6ffe3ad98bd63067620d53d22fafe79b7ceb2faa1dd850f752990377138461cf5d55be5d3754d9c15785e0c9a0b2669c0250b,"03/07/2016 03:00:00 PM","03/07/2016 03:15:00 PM",300,0.6,"",17031320100,"",32,$5.00,$0.00,$0.00,$1.00,$6.00,Cash,"Dispatch Taxi Affiliation","","","",41.884987192,-87.620992913,"POINT (-87.620993 41.884987)",""
a2c80459dcdd4d949916ec44aa3611c0ec5449b8,c98279e9a64942bce4698cd9b6383400d11a62273453b5310ec8c2fd9fc376db851c4b23f872527fdcbcaee881305f5a467da8ddebed1143f9acb7e21d9e5782,"12/05/2014 11:45:00 AM","12/05/2014 11:45:00 AM",240,0.5,17031081401,17031081401,8,8,$5.05,$0.00,$0.00,$0.00,$5.05,Cash,"",41.89503345,-87.619710672,"POINT (-87.619711 41.895033)",41.89503345,-87.619710672,"POINT (-87.619711 41.895033)",37
a2c804d0cb3aca4fca889d71ffedd35f957ba482,3cc07933fdf2b81d7ba8ad2e7eff9b52c2a427e45ead572315b496f23fab3cbd86f605301f9e1dd05f96a35529f9ad6f0bd416d353e56d3a10d65852957b0a4d,"05/24/2015 03:30:00 PM","05/24/2015 03:30:00 PM",600,0,17031081100,17031839100,8,32,$8.05,$0.00,$0.00,$1.50,$9.55,Cash,"Blue Ribbon Taxi Association Inc.",41.900221297,-87.629105186,"POINT (-87.629105 41.900221)",41.880994471,-87.632746489,"POINT (-87.632746 41.880994)",37
a2c804f44ea583485d7ac6162f2be6b690ac4e4e,0cac18991a2b03a2653cdc53dbff9c58f8b98a4e4658682b8719b07f214ac48f3c5c1a0dbb990ed0376abe3ca634fadb60d11d5cbc60e1a6de1a74eba89f8887,"05/21/2014 04:15:00 PM","05/21/2014 04:30:00 PM",660,2.6,"","",77,6,$8.85,$0.00,$0.00,$0.00,$8.85,Cash,"5129 - Mengisti Taxi",41.9867118,-87.663416405,"POINT (-87.663416 41.986712)",41.944226601,-87.655998182,"POINT (-87.655998 41.944227)",76
a2c804fdbf4dfa86edb7c13e8100c2ad54e1571a,0d61c4f9c8cb8d280fce388789bd7e26d2a692c0e510ca588ec0b4979d50be301e288fb259f57c306c47035636aed0ed78fa7eb8989fe20540bbb8bdc8c57910,"10/16/2015 11:30:00 PM","10/16/2015 11:30:00 PM",660,2.4,17031081403,17031243400,8,24,$8.65,$0.00,$0.00,$1.00,$9.65,Cash,"Northwest Management LLC",41.890922026,-87.618868355,"POINT (-87.618868 41.890922)",41.892536872,-87.659864318,"POINT (-87.659864 41.892537)",37
a2c805320a702dff2408b5d691d3748f0c823c0b,a3e73cd26d232296ca0195222c3031b06c88603fc685681153648bc40c09160d7f7dba55445b7ea6acd55dbef07e75fcf155ff6da1bef621cb0b131658654b66,"03/28/2014 10:00:00 PM","03/28/2014 10:15:00 PM",840,0.1,"","",8,6,$10.05,$2.20,$0.00,$1.00,$13.25,"Credit Card","Blue Ribbon Taxi Association Inc.",41.899602111,-87.633308037,"POINT (-87.633308 41.899602)",41.944226601,-87.655998182,"POINT (-87.655998 41.944227)",37
a2c80587c7eb7bf5105d06f1e0e50c6ccff22648,39b439b4af750a75fe584cb64d2bf8a20032149238ccbf71ab6647a88b9a30f23b874632445d0361d308b9202f1fcb0fde4f4ba0313235101725d338ae0a287f,"04/09/2015 01:45:00 PM","04/09/2015 02:00:00 PM",480,0,17031320400,17031081500,32,8,$6.45,$0.00,$0.00,$0.00,$6.45,Cash,"Blue Ribbon Taxi Association Inc.",41.877406123,-87.621971652,"POINT (-87.621972 41.877406)",41.892507781,-87.626214906,"POINT (-87.626215 41.892508)",38
a2c805c735ef83ab1c6b6d9eb33e38e6bc89b1fc,f5b9df3eaef738ca369f4d7ae811cdb5b02b5c8a78d8bb89284e8cf4868d09c060fd4f912c274d7fb56c1a0acb7d0fdb3703c5342b2b76b873c5a2499a9c595c,"05/05/2015 02:15:00 AM","05/05/2015 02:15:00 AM",120,0.6,17031081500,17031081402,8,8,$4.45,$2.00,$0.00,$0.00,$6.45,"Credit Card","Taxi Affiliation Services",41.892507781,-87.626214906,"POINT (-87.626215 41.892508)",41.891971508,-87.612945414,"POINT (-87.612945 41.891972)",37
a2c805c76a36ede35dfab7399e7ef4b137ccf2d6,aebf720288b80a8ee36860541db64951c696c749f1a392d312fa4d2a8cd3f95dfb0be580fda7eb63455f809a1be9b3acad19a3ca167073126d0350b50f30741a,"04/18/2013 07:45:00 AM","04/18/2013 08:00:00 AM",960,3.4,"","",35,8,$11.45,$0.00,$0.00,$0.00,$11.45,Cash,"",41.835117986,-87.618677767,"POINT (-87.618678 41.835118)",41.899602111,-87.633308037,"POINT (-87.633308 41.899602)",1
a2c80607ed675e2a20753254c38c8d587cc4444e,cb45868744afdabf437896ea143543c36e20ce2034d8762c8ae6197265296faeb40d929c7d9e230f5e53e6b584b6b4f86908305f461b754f0480a72fdb601cd4,"09/04/2015 09:30:00 AM","09/04/2015 09:30:00 AM",360,0.6,17031839100,17031081403,32,8,$5.45,$0.00,$0.00,$0.00,$5.45,Cash,"Taxi Affiliation Services",41.880994471,-87.632746489,"POINT (-87.632746 41.880994)",41.890922026,-87.618868355,"POINT (-87.618868 41.890922)",38
a2c80624745a8474a33036a92ef4d92c65bc0141,24ace4238a5b811f03c09a8c0e5f72bd8be56231ebcd02f6396af7da7373638c6e5ef9dedc23b05b1e659846c782e8549a7bf677612aec6a7e019fab65b380f1,"06/14/2013 01:15:00 PM","06/14/2013 01:30:00 PM",420,0.12,"","","","",$6.25,$0.00,$0.00,$0.00,$6.25,Cash,"","","","","","","",""
a2c8062cadf3752e3d9c11595104c9990e8973bc,c17582be31089967bcc79faa83fe8c0f7521a55e172fa83398c78255eeace47b45af0bbbd241d68db5b8c6e139c93c5e39be80db33402a1a37a22657c74475cf,"02/25/2014 04:15:00 PM","02/25/2014 04:45:00 PM",1500,10,"","","",32,$24.45,$0.00,$0.00,$1.00,$25.45,Cash,"","","","",41.878865584,-87.625192142,"POINT (-87.625192 41.878866)",""
a2c80638415831df2662853a27c042eb876cce83,200712b5d1ed69a162d0cd453bb41d2d9ef515c5c6995dd9dcc19de2472e335026729e5a9db36a7d7e258b1520836bb792d3ad76b5c90c4d119833f2a8ff6afa,"05/29/2015 09:15:00 PM","05/29/2015 09:15:00 PM",0,0,"","","","",$9.85,$1.50,$0.00,$0.00,$11.35,"Credit Card","Chicago Elite Cab Corp. (Chicago Carriag","","","","","","",""
a2c80663abdd37d3f3d50f2fafe13e5264d14c19,03e0167b1f657558b3f2a8d512b1f2f76029ceb3001d931d2333026cd419c6ea9349f3bcd3a06b3bee9d642db85a8383460715cdf6665e998a2fe9878dd65370,"05/20/2013 07:15:00 AM","05/20/2013 07:30:00 AM",960,7.9,17031031400,17031281900,3,28,$18.05,$0.00,$0.00,$0.00,$18.05,Cash,"",41.962178629,-87.645378762,"POINT (-87.645379 41.962179)",41.879255084,-87.642648998,"POINT (-87.642649 41.879255)",31
a2c8069f79fcc18d9dd9ae3355d4caba626a5ab9,40f4cad7533b5bad8372636476a1d4a1e2bd7b8a47e6ca069f5c303183678323e5f51534a560852f24da3677fdce854b23f17185fa8d2a8da554ebb543ae1f02,"04/21/2014 10:15:00 PM","04/21/2014 10:15:00 PM",480,1.5,17031320100,17031081100,32,8,$7.05,$0.00,$0.00,$0.00,$7.05,Cash,"KOAM Taxi Association",41.884987192,-87.620992913,"POINT (-87.620993 41.884987)",41.900221297,-87.629105186,"POINT (-87.629105 41.900221)",38
a2c806c244a7445bf9dbd930f207e96857a0d958,a63fbe77a0a8d3f64899ce287944c489da222dc9f33b6ea548563e911598357d26de29c29d3198a5af263e0df723ff0367e2899d9e3797433487a5faa75c9718,"01/19/2015 01:45:00 AM","01/19/2015 02:00:00 AM",1080,3.4,17031071500,17031080300,7,8,$11.65,$0.00,$0.00,$1.50,$13.15,Cash,"",41.914616286,-87.631717366,"POINT (-87.631717 41.914616)",41.90749193,-87.63576009,"POINT (-87.63576 41.907492)",68
a2c806e78c43517744fc452ad86c8a30e227cf21,8dd8fa2f89c483952942fd558259806aae5e476b6fdf8f4831d036fb9ba6d70a6b857cad5657a6653947c4b9a41b87ff6caf0c6b6744f5d8f9d648084d078934,"09/17/2014 01:30:00 PM","09/17/2014 02:00:00 PM",2220,17.9,17031980000,17031081401,76,8,$37.85,$0.00,$0.00,$3.00,$40.85,"Credit Card","",41.97907082,-87.903039661,"POINT (-87.90304 41.979071)",41.89503345,-87.619710672,"POINT (-87.619711 41.895033)",75
a2c806f38343080ebd2a69acf083782044af310b,288345b3a0280dabfb23a38ba7fc482e59bb37c2109b0a5bd207bb6bc068082c403c784cdbb7ba4d7bf1bee197c7420915599c96d3b44ff54a0494094d14878c,"03/19/2014 02:30:00 PM","03/19/2014 03:00:00 PM",2100,0,17031980000,"",76,"",$51.45,$0.00,$0.00,$51.50,$102.95,Cash,"Northwest Management LLC",41.97907082,-87.903039661,"POINT (-87.90304 41.979071)","","","",75
a2c80705cc9432c8bb0c3f978e8fe3fa3e66fd2f,51b909f0a3e84a5d9ec9eccd0928921f0fa9e4c7ba888adff8a1fc9904e8d2d6bae7d8d06515d3a268709a77c161ce78d74a200e70e7b8d3cfbbb3e6d6a5014c,"03/04/2013 02:30:00 PM","03/04/2013 02:30:00 PM",300,0.8,17031839100,17031320100,32,32,$5.45,$0.00,$0.00,$1.00,$6.45,Cash,"",41.880994471,-87.632746489,"POINT (-87.632746 41.880994)",41.884987192,-87.620992913,"POINT (-87.620993 41.884987)",38
a2c8074ec9942b0811091328bba5f1fa9060ac1e,329d9f0b72ce0fea6c2cc7ea3347924c11d98702e5cc39eacf6252038304bb019457c905f38066a2f9aa4b8732ac30ea22d8740e177a314ef7b0327ad5766cee,"08/14/2015 03:15:00 PM","08/14/2015 03:30:00 PM",840,3.2,"","","","",$10.85,$3.00,$0.00,$0.00,$13.85,"Credit Card","","","","","","","",""
a2c80760c37f6fa14e477ff8ad9bb5bddd84ac95,e055d0eec9fc4dd6879a31c2f57953078a5a07378a669cd05b33ed1ea7090f1f7579d595eb5ece0abaa9a3e6eba3c5550278064f992c43c6f3fa3be07289b8bc,"05/19/2016 08:15:00 PM","05/19/2016 08:15:00 PM",540,1.5,17031081201,17031320400,8,32,$8.00,$0.00,$0.00,$0.00,$8.00,Cash,"",41.899155613,-87.626210532,"POINT (-87.626211 41.899156)",41.877406123,-87.621971652,"POINT (-87.621972 41.877406)",37
a2c8076435188f8a758c6ffe12662c618bad3fae,82bb1e2a79d631e8abfc919112fd6567a302799a14b1a143079ae4c24b2713822c7ec494ea2b73d01717e06a7e066037aaa37c1017786d6fbe39ebed17a79005,"06/10/2014 09:30:00 AM","06/10/2014 09:30:00 AM",180,0.7,17031081403,17031320100,8,32,$5.05,$2.00,$0.00,$0.00,$7.05,"Credit Card","Taxi Affiliation Services",41.890922026,-87.618868355,"POINT (-87.618868 41.890922)",41.884987192,-87.620992913,"POINT (-87.620993 41.884987)",37
a2c8077f9017316fa3e50193f1bfdb3e2985cd94,39c9a1f260ac7be5e06609b127219dacc45babf6e22f5e0dbb94b36a416b04040989bf2c3ddaa6561a55fb25d3e6dbf260488478c465a35074f7190a5331c4eb,"01/09/2015 02:00:00 AM","01/09/2015 02:00:00 AM",0,0,"","","","",$77.45,$19.36,$0.00,$0.00,$96.81,"Credit Card","Chicago Elite Cab Corp. (Chicago Carriag","","","","","","",""
a2c807a2b7ab8fc4352a47ecef4cc0ca0ad0d4d2,6dede8a3b45df5a6a63ee10e03bf0f12570e04bcd1aff6760f7aeaf4e28460a739af24dccfff933a89ede9a1cfc8b5e11f064d4c3728c1552e0f4f9c1684119d,"06/04/2014 09:15:00 PM","06/04/2014 09:30:00 PM",180,1,17031081700,17031280100,8,28,$5.05,$2.00,$0.00,$0.00,$7.05,"Credit Card","",41.892042136,-87.63186395,"POINT (-87.631864 41.892042)",41.885300022,-87.642808466,"POINT (-87.642808 41.8853)",37
a2c807ba882c11d5eaa63b194fc4f5822c68c053,839c8a07639d9477fe43f3e2b7be014a3deead1930460c23bd2b2637f8425954d15fe34466107393a708fb0a493f0e607c442b6cd875298e77eac8bb6f65df01,"10/16/2013 09:00:00 PM","10/16/2013 09:15:00 PM",840,0,"","","","",$9.45,$2.36,$0.00,$0.00,$11.81,"Credit Card","Chicago Elite Cab Corp. (Chicago Carriag","","","","","","",""
a2c807fd8ce912f4622cd9b0e5244ab701dcb1a4,06296f7fd7a8cbb6518f9bea5377713ed146d4fa1e499d803929cd0f78fa22994befeab1eb4294a2a5cbd1d4849c66c5cca42d8798a87daeaa1072a1a520c869,"08/05/2015 08:15:00 AM","08/05/2015 08:15:00 AM",300,0.08,"","","","",$5.25,$3.00,$0.00,$0.00,$8.25,"Credit Card","","","","","","","",""
a2c80830464464e0e99c27e4aa6b75f919f9c49a,27be7315dcf6d652d2dab8434c3bae56f365d02cd8f5e69fcc2d0735dc5208c7aed3afdaaaf1c5fdea4a513b711633f3abd6670fe21ced9a536caa6b35b62b84,"04/25/2013 03:30:00 PM","04/25/2013 03:45:00 PM",360,0,17031081402,17031839100,8,32,$6.05,$0.00,$0.00,$1.00,$7.05,Cash,"Taxi Affiliation Services",41.891971508,-87.612945414,"POINT (-87.612945 41.891972)",41.880994471,-87.632746489,"POINT (-87.632746 41.880994)",37
a2c80838290a07a9bc895451931602d1ea785c58,37f2dac8bb4cbc8b1e31deb8bdc3ebe8220a26636b61b3c6c145d0dc532b05502b3b1a8a913e8139e15a2d603cc61b503dd1caee7c1e408f68b909028299993f,"07/16/2014 09:30:00 AM","07/16/2014 09:45:00 AM",660,1.3,17031320100,17031081700,32,8,$7.45,$2.00,$0.00,$0.00,$9.45,"Credit Card","Dispatch Taxi Affiliation",41.884987192,-87.620992913,"POINT (-87.620993 41.884987)",41.892042136,-87.63186395,"POINT (-87.631864 41.892042)",38
a2c8086c61780006fe1c829566173afa33de684e,4634e511c40f4d1617cc543347c17518b98aed2fcde089335962c6e66931a726de6ab5aea2cb431931efbe9f8d0a769240115b62752a8ba347aa3362f4721ba1,"01/20/2016 12:00:00 PM","01/20/2016 12:15:00 PM",1380,0,"","",24,6,$17.50,$0.00,$0.00,$0.00,$17.50,Cash,"Taxi Affiliation Services",41.901206994,-87.676355989,"POINT (-87.676356 41.901207)",41.944226601,-87.655998182,"POINT (-87.655998 41.944227)",25
a2c8087f75c24ba5bf2edee19050a1c237757300,c12e0923159de80ee3288c44047308ab8f602fbfb2278fe626347a8a55c64bb9847438ad57f7d9d0ad92787d1cc2fd79fe454eba5094763e10fc66c77f055f52,"12/27/2014 11:15:00 PM","12/27/2014 11:15:00 PM",480,1.9,17031081500,17031071500,8,7,$7.25,$0.00,$0.00,$2.00,$9.25,Cash,"Choice Taxi Association",41.892507781,-87.626214906,"POINT (-87.626215 41.892508)",41.914616286,-87.631717366,"POINT (-87.631717 41.914616)",37
a2c8088f303df658621a8f64a351b16d2c6d9647,71fad516405e21c33445a210604a4b5edf2572fe37ddc1da1cd203c6001ba1477fd7811d3a5d8155069cb0e2d427d4818716d95f212b6bfbeb2f98d1a65d1308,"03/17/2016 06:15:00 PM","03/17/2016 06:15:00 PM",0,0,"","","","",$5.50,$1.38,$0.00,$0.00,$6.88,"Credit Card","Chicago Elite Cab Corp. (Chicago Carriag","","","","","","",""
a2c808b9ece3732423e7f94e53d83e3041826b5c,7fd4686df9203e2623a18cab7e0cc600a594edbabcb1aaaea45e1cb93e6d3c519aecded8763ccf09e3d3990d164f58cc104d0ab037b470a25ecbf6d57b05387b,"04/13/2013 04:15:00 PM","04/13/2013 04:15:00 PM","",0,"","","","",$10.85,$2.00,$0.00,$0.00,$12.85,"Credit Card","Chicago Elite Cab Corp.","","","","","","",""
a2c808bb1d53458ad25fa5ad5b1d5c2236325f24,07c6b97627d86b77e76e03006e7592528831994ff6cb51bff481b6f238bf2b869ed8ef419208419cf32b4c3fa84100ece676d3d894b679f3933a63879df797c9,"02/20/2015 08:15:00 PM","02/20/2015 08:15:00 PM",240,0,17031081000,17031081201,8,8,$4.85,$0.00,$0.00,$0.00,$4.85,Cash,"Taxi Affiliation Services",41.900265687,-87.63210922,"POINT (-87.632109 41.900266)",41.899155613,-87.626210532,"POINT (-87.626211 41.899156)",37
a2c808d7cf530968185ccaebb3e740ac5b29c714,785ef52cff80fe78a7ee899453036c0be6ac8fef4d1006810092be7e96b27cfa576f25bfd842e2f0cbd68c52f22f943fb512a0ddad323fbd472bb0529148739d,"05/06/2016 02:30:00 PM","05/06/2016 02:45:00 PM",420,1.6,17031839100,17031081800,32,8,$7.50,$3.00,$0.00,$0.00,$10.50,"Credit Card","Chicago Medallion Leasing INC",41.880994471,-87.632746489,"POINT (-87.632746 41.880994)",41.89321636,-87.63784421,"POINT (-87.637844 41.893216)",38
a2c8092586012bd60dfe811c6485381593adc668,abc6a27c471de3f0c4ee008660e4440072fe79fe782a7510ab433719c3203f3828c96483b97f5a5c801ddcef239c445737294c2f7bcc5401686d86b61d3c9029,"03/18/2015 11:00:00 AM","03/18/2015 11:15:00 AM",1020,7.4,"","",39,28,$17.45,$3.00,$0.00,$0.00,$20.45,"Credit Card","Taxi Affiliation Services",41.808916283,-87.596183344,"POINT (-87.596183 41.808916)",41.874005383,-87.66351755,"POINT (-87.663518 41.874005)",5
a2c80940e738e81664404dc1bf38cdec4658bbf3,b2a007b1410c7208af92ef3a97b87c0af4c3e7b49c2b765a39fccd2f06b2f836ed410f8507081389b033082d814a0ee5598e1fa925facbc5c0d20e13b7bc0e5a,"04/06/2014 12:15:00 AM","04/06/2014 12:30:00 AM",720,5.3,"","","","",$13.25,$3.00,$0.00,$1.00,$17.25,"Credit Card","","","","","","","",""
